MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10-Mar,,0.06,0.19,0.18,0.41,0.18,0.38,3.73,0.03,0.14,0.73,0.2,0.05,0.27,0.34,0.2,2.63,0.19,0.23,0.19,1.67,0.76,0.2,0.2,0.03,3.4
11-Mar,,0.08,0.14,0.1,0.11,0.07,0.62,0.25,0.16,0.43,0,0.1,0.13,0.01,0.24,0.13,0.15,0.13,0,0.13,0.67,0.12,0.13,0.06,0.11,1.87
12-Mar,,1.38,0.32,0.1,0.14,0.31,0.45,0.95,0.13,0.07,0.01,0.15,0.12,1.5,1.21,0.13,0.13,0.13,0.1,0.13,0.15,0.12,0.13,0.06,0.12,1.49
13-Mar,,0.08,1.87,0.22,0.27,0.13,0.12,0.13,0.31,0.04,0.29,0.1,0.12,0.53,3.38,0.13,0.13,0.13,4.91,0.13,0.25,0.12,0.13,0.1,0.72,0.02
14-Mar,,0.08,0.07,0.07,0.1,0.07,0.97,0.5,0.33,0.05,0,0.16,0.12,2.05,12.09,0.13,0.13,0.13,1.5,0.13,0.12,0.12,0.13,0.33,0.17,0.02
15-Mar,,0.09,0.3,0.2,0.08,0.06,5.1,0.45,0.12,0.05,11.9,0.13,0.12,0.03,9.93,0.13,0.13,0.13,29.69,0.13,0.32,0.16,0.13,3.38,0.11,0.02
16-Mar,,0.08,0.06,0.07,0.04,0.01,0.94,6.66,0.46,0.06,7.27,0.08,0.08,0.22,3.5,0.05,0.08,0.1,18.95,0.08,0.17,0.19,0.08,3.77,0.05,0.79
17-Mar,,0.17,0.03,0.07,0.04,0.01,4.23,0.39,0.09,0.06,0.15,0.17,0.08,0.29,1.91,0.06,0.08,0.09,0.19,0.08,0.25,0.22,0.08,0.14,0.36,1.65
18-Mar,,0.1,0.03,0.11,0.13,0.37,0.14,0.47,0.55,0.06,0.11,0.08,0.08,0.34,0.74,0.12,0.09,0.99,3.89,0.08,5.32,0.28,0.08,0.44,0.57,0.51
19-Mar,,0.49,0.61,0.07,0.07,0.06,0.67,0.34,0.55,0.08,3.69,0.08,0.08,12.81,0.03,0.05,0.08,0.34,0.91,0.08,0.7,0.07,0.08,0.26,0.06,0.92
20-Mar,,0.49,0.59,0.07,0.11,0.09,4.31,4.59,5.88,0.14,15.08,0.08,0.08,13.69,0,0.11,0.08,1.03,6.72,0.08,0.26,0.15,0.08,9.82,0.18,6.96
21-Mar,,0.26,0.21,0.06,0.03,0.99,1.43,0.99,12.84,0.02,5.92,0.02,0.02,2.98,0.01,0,0.02,0.06,0.4,0.02,0.02,0.03,0.42,4.08,0.02,0.81
22-Mar,,0.05,0.01,0.18,0.04,2.07,0.11,0.75,6.2,0.02,2.16,0.02,0.02,1.3,0.06,6.2,0.04,0.66,0.5,0.02,1.32,0.3,0.42,1.96,0.23,0.61
23-Mar,,0.09,0.06,0.61,0.06,0.18,0.22,0.17,20.34,0.02,0.47,0.03,0.02,0.18,0.01,2.25,0.02,0.03,0.05,0.02,4.63,1.78,0.43,8.27,1.6,1.34
24-Mar,,5.69,0.19,2.5,0.02,0.25,0.44,0.12,7.2,0.03,1.93,0.49,0.02,2.08,0.74,2.97,,0.01,0.44,0.03,2.89,0.25,1.55,1.89,7.28,4
25-Mar,,10.41,0.01,1.37,0.02,0.87,2.73,0.41,1.14,0.02,6.9,0.03,0.02,2.06,20.51,11.25,0.02,0.01,5.88,0.02,0.72,0.02,8.24,5.65,2.45,6.06
26-Mar,,12.82,3.76,4.23,0.11,0.09,0.73,0.11,4.98,0.01,2.53,0.01,0.01,10.92,6.27,8.73,0.01,0.02,0.24,0.07,18.7,0.03,0.2,19.69,0.16,5.13
27-Mar,,6.51,1.08,0.8,0.3,0.02,0.01,0.03,12.1,0.33,2.35,0.03,0.01,3.35,9.93,0.97,0.01,0.18,2.68,8.81,13.49,0.07,0.97,0.77,1.13,11.31
28-Mar,,0.23,0.55,0.09,1.98,0.09,0.02,0.04,2.02,0.72,13.33,0.06,0.01,26.81,0.05,0.12,0.01,0.06,9.87,1.71,12.93,0.18,0.15,2.62,0.18,21.08
29-Mar,,2.11,0.02,12.19,0.84,0.01,0.06,0.02,3.33,0.4,5.76,0.01,0.01,5.07,0.3,0.11,0.01,0.03,1.72,0.06,1.9,0.05,0.17,0.4,5.39,0.26
30-Mar,,2.76,0.05,15.04,1.56,0.51,0.01,0.16,1.79,0.15,3.14,0.1,0.01,0.92,0.16,0.02,0.01,0.06,0.97,0.01,8.5,0.03,0.75,0.24,1.42,3.74
31-Mar,,3.2,10.22,1.33,0.35,0.06,0.17,0.02,3.35,0.02,4.85,0.03,0.08,11.35,0.67,2.32,0.01,0.01,0.36,0.01,3.08,1.28,1,2.28,3.15,0.54
01-Apr,,1.6,10.8,0.15,2.06,0.07,0.94,0.02,0.37,0.21,20.33,0.04,0.23,17.65,1.75,1.8,0.05,0.01,1,0.04,1.81,1.53,1.35,0.07,1,0.86
02-Apr,,0.17,4.23,0.08,5.69,0.07,1.34,0.02,0.77,0.06,6.77,0.52,0.66,1.9,0.87,1.32,0.43,0.11,2.36,0.07,0.41,3.03,0.39,1.79,1.37,1.79
03-Apr,,1.45,0.4,0.08,0.13,0.07,3.26,0.03,0.21,0.01,2.29,0.67,0.35,3.13,3.41,0.69,0.71,0.01,4.37,0.73,0.75,2.17,0.55,13.63,5.37,7.47
04-Apr,,5.9,0.26,0.04,0.07,1.72,3.89,0.01,0.2,0.01,3.9,1.39,0.63,2.29,0.37,5.14,0.89,1.83,6.16,2.34,0.52,7.59,0.02,5.47,9.82,3.15
05-Apr,,12.15,1.12,0.01,2.05,3.57,13.12,0.13,0.17,6.82,1.52,0.02,0.47,1.49,0.58,2.68,7.13,5.23,2.94,1.22,0.94,13.48,0.03,3.14,5.64,9.47
06-Apr,,1.84,2.54,0.01,1.58,8.26,6.48,0.07,0.22,13.54,0.66,0.12,0.03,8.66,0.88,0.91,0,3.21,2.09,0.03,0.02,1.58,0.01,0.19,2.68,2.79
07-Apr,,2.83,1.8,0.29,11.31,2.84,4.57,0.03,0.11,15.57,0.6,0.91,0.19,1.15,8.37,0.15,0,9.06,24.89,0.04,0.43,3.71,0.1,3.65,1.91,0.94
08-Apr,,6.13,0.46,0.03,14.03,8.14,5.46,0,0.12,0.65,1.1,0.45,0.04,2.75,0,8.54,0.14,0.3,23.03,0.04,0.73,1.24,0.07,1.41,21.31,0.1
09-Apr,,1.93,0.21,0.03,2.85,3.44,1.44,0.07,0.27,2.54,0.13,0.85,0.06,1.67,0.47,16.38,0.09,2.94,8.14,0.17,0.26,0.2,0.12,0.58,4.18,1.18
10-Apr,,7.29,0.94,0.01,4.01,1.96,0.67,0,0.1,2.91,0.37,0.26,0.03,14.75,2.79,2.73,1.42,0,11.76,3.65,0.2,5.88,0.08,3.22,5.45,1.9
11-Apr,,1.23,0.79,0.04,8.84,2.03,1.19,0.62,6.21,2.71,0.07,0.59,0.06,11.23,0.19,1.21,2.23,0.06,13.76,0.07,0.82,2.93,0.75,1.17,8.76,1.06
12-Apr,,1.08,2.11,0.06,1.99,0.43,0.08,0.02,5.42,7.62,0.1,0.46,1.06,34.61,4.07,1.74,1.44,0.07,15.92,0.52,7.77,2.27,2.61,5.94,2.52,0.63
13-Apr,,0.14,1.53,0.07,0.7,3.16,0.09,0.41,2,0.4,0.65,1.38,4.15,1.31,2.25,0.69,0.02,0.08,4.62,0.09,2.54,1.73,1.27,4.57,6.43,0.96
14-Apr,,0.67,4.16,0.11,1.84,0.14,0.1,0.15,1.37,0.74,1.25,4.66,0.86,5.05,1.94,0.2,0.25,0.07,34.39,0.05,1.91,0.12,0.58,1.31,2.21,1.47
15-Apr,,6.17,6.61,0.55,0.12,1,1.41,0.2,4.08,0.25,2.82,10.08,1.17,1.85,1.08,0.75,0.8,0.77,3.07,0.08,1.1,1.26,0.32,1.77,0.48,0.07
16-Apr,,2.82,1.55,8.31,1.72,0.15,1.38,9.3,2.72,0.98,0.93,7.38,10.7,2.19,0.68,16.99,7.83,0.13,19.16,0.03,2.45,0.12,1.54,12.29,0.01,1.43
17-Apr,,0.12,6.12,4.36,1.21,0.82,0.7,10.72,2.41,0.11,11.15,2.7,5.13,0.07,3.4,7.09,6.87,13.13,11.18,0.03,0.71,0.5,0.32,4.53,0.09,3.07
18-Apr,,0.25,2.28,4.39,0.11,0.22,5.66,4,2.29,0.11,10,3.66,17.74,0.65,1.55,0.12,0.64,1.66,1.63,0.32,16.6,0.65,1.38,3.62,0.66,5.47
19-Apr,,0.43,0.63,3.19,0.95,0.03,1.9,2.75,1.78,1.19,2.39,3.78,5.02,8.02,0.71,0.16,4.81,0.44,4.78,0.4,4.42,0.64,3.28,2.64,0.11,2.68
20-Apr,,0.81,1.14,10.1,8.62,0.05,0.52,11.18,5.04,3.69,0.01,1.63,2.21,0.89,0,2.05,3.68,0.5,2.04,0.43,5.88,0.32,15.7,0.11,0.01,2.34
21-Apr,,0.43,4.92,1.53,1.8,0.37,0.33,5.56,0.29,0.18,0.07,4.5,0.42,0.06,0.01,6.06,0.95,0.06,1.53,0.56,2.89,4.05,5.41,0.18,6.24,2.48
22-Apr,,0.31,7.62,0.74,1.24,0.01,10.24,6.67,1.23,0.49,0.07,2.23,0.03,0.13,0.02,4.87,0.45,0.17,4.67,2.42,27.66,7.93,2.68,14.06,0.59,11.74
23-Apr,,1.91,9.85,0.49,0.95,0.03,1.91,9.3,4.47,0.53,0.18,1.81,1.12,0.04,1.17,3.8,0.59,0.03,23.83,9.87,2.77,2.75,0.6,0.55,2.75,14.65
24-Apr,,11.52,7.51,8.76,5.7,0.04,0.65,5.67,5.7,0.67,0.16,1.83,2.02,0.31,0.29,3.61,3.04,0.11,11.89,6.27,19.75,0.58,0.06,9.34,1.33,0.54
25-Apr,,1.56,5.96,1.08,1.15,0.01,1.29,1.73,0.56,2.89,0.43,1.18,0.37,0.05,0.1,4.16,0.7,0.14,1.09,5.02,20.43,0.12,0.08,12.55,22.95,0.09
26-Apr,,0.1,3.11,0.58,0.1,5.36,0.63,0.34,0.8,1.04,0.13,0.11,0.09,0.13,0.03,0.59,1.7,0.3,0.01,16.76,0.33,0.29,0.88,10.57,12.07,0.08
27-Apr,,0.04,0.28,1.19,0.05,2.39,0.54,0.86,1.93,0.13,0.5,0.19,0.09,0.06,0.04,16.59,2.25,0.03,0.18,16.91,1.18,0.97,4.17,3.72,0.4,0.11
28-Apr,,0.04,6.23,15.53,0.02,18.41,0.98,1.11,0.94,0.07,2.12,0.42,0.41,1.34,0.06,4.76,8.76,0.02,0.31,4.13,4.94,2.95,3.8,9.39,0.37,0.05
29-Apr,,0.02,3.5,11.13,0.05,15.54,0.13,0.15,0.09,0.29,3.57,0.07,0.19,0.18,0.17,6.6,2.49,0.29,1.66,2.6,2.09,0.34,0.87,1.07,0.16,1.76
30-Apr,,0.02,2.06,2.55,0.02,6.8,1.6,0.01,0.12,0.07,3.51,0.03,0.18,2.31,2.12,3.71,8.02,0.21,0.09,1.92,1.03,0.24,1.65,4.47,0.1,0.27
01-May,,0.07,0.56,15.32,0.06,5.29,14.25,0.03,0.13,0.17,5.63,0.31,0.79,0.47,0.07,2.38,7.42,0.53,5.7,0.35,0.85,0.24,1.76,7.2,0.19,0.11
02-May,,0.09,0.31,0.57,0.15,8.64,2.15,0.63,0.08,4.84,0.28,0.08,0.38,0.1,1.82,0.76,2.14,0.23,0.75,0.09,0.21,0.98,7.26,0.56,0.61,0.75
03-May,,0.24,0.55,0.45,0.45,0.92,0.34,2.01,0.05,0.33,0.02,0.11,0.97,0.16,0.01,0.04,0.21,4.05,0.14,0.91,0.21,0.67,2.71,0.8,5.75,2.88
