MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
28-May,,0.15,0.19,4.52,0.14,1.64,0.04,1.31,1.09,0.33,0.48,0.32,0.11,0,0,0.35,0.34,0.19,0.11,0.23,1.49,0.38,0.17,0.17,0.34,0.25
29-May,,0.08,0.19,0.94,0.16,1.07,0.05,0.51,0.91,0.46,0.22,0.32,0.11,0,0,1.2,0.34,0.47,0.11,0.77,0.11,0.32,0.29,0.29,0.34,0.15
30-May,,0.07,0.19,5.21,0.08,0.45,0.55,0.36,2.19,0.32,0.18,0.32,0.11,1.2,0,0.48,0.34,0.67,0.16,0.04,0.11,0.3,0.32,0.21,0.34,0.07
31-May,,0.19,0.19,1.39,0.32,0.6,0.14,13.73,0.24,0.32,0.25,0.32,0.11,0.81,0,0.1,0.34,0.26,1.86,0.04,0.14,0.3,0.86,0.96,0.36,0.08
01-Jun,0.18,0.06,0.29,1.3,0.47,0.73,0.04,3.38,0.53,0.13,0.21,0.17,0.29,0.27,0.07,1.28,0.16,0.29,0.24,0.29,0.05,0.33,0.16,0.68,0.29,0.11
02-Jun,0.18,0.06,0.29,0.22,0.25,0.16,0.54,0.21,0.23,0.09,0.22,0.27,0.29,0.27,0.06,0.05,0.16,0.29,0.07,0.26,0.3,0.28,0.27,0.18,0.29,0.02
03-Jun,0.18,0.17,0.29,0.07,0.12,0.21,0.08,1.33,0.23,0.03,0.24,0.24,0.29,0.27,0.14,0.04,0.16,0.29,0.02,0.28,0.92,0.28,0.25,0.47,0.31,0.02
04-Jun,0.44,1.17,0.29,0.03,0.51,0.12,0.33,0.12,0.25,2.72,0.63,0.46,0.29,0.38,1.13,0.04,0.16,0.3,0.03,0.25,0.05,0.28,0.23,0.08,0.29,0.06
05-Jun,0.49,0.08,0.3,0.07,0.12,0.24,0.48,0.05,0.23,0.04,0.21,0.31,0.29,0.27,0.08,0.04,0.81,0.29,1.1,0.38,0.55,0.28,0.56,0.06,0.29,1.35
06-Jun,0.42,0.13,0,0.08,3.45,0.12,0.19,0.33,0.18,0.05,0.01,0.39,0.23,0.22,0.49,0.02,0.11,0.23,0.79,0.17,1.34,0.12,0.52,0.27,0.22,0.04
07-Jun,0.26,0.13,0.2,0.16,10.35,0.07,0.47,0.22,0.18,0.12,0.02,0.22,0.23,0.26,0.38,0.08,0.87,0.23,0.11,0.2,0.07,0.06,0.26,0.2,0.22,0.01
08-Jun,0.19,0.55,1.79,1.67,0.13,0.2,0.02,0.07,0.18,0.73,0.14,0.17,0.24,0.22,0.21,0.24,0.1,0.23,0.08,0.27,0.54,0.17,0.13,0.2,0.22,1.02
09-Jun,0.14,0.13,4.5,0.09,0.01,0.69,0.07,0.38,0.43,0.02,1.02,0.19,0.23,0.22,0.15,0.08,0.1,0.23,0.08,0.16,0.07,0.74,0.12,0.27,0.23,4.23
10-Jun,0.13,0.2,1.24,0.08,2.22,0.07,0.94,0.6,0.18,0.35,0.04,0.18,0.23,0.22,0.21,2.09,0.12,0.23,0.08,0.35,0.08,0.06,0.12,0.2,0.24,0.04
11-Jun,0.21,0.02,0.4,0.07,1.06,0.21,1.07,0.75,0.01,0.01,0.18,0.22,0.21,0.29,0.22,0.68,0.29,0.04,0.1,0.16,0.2,0.22,0.27,0.12,0.35,0.29
12-Jun,0.21,0.02,0.15,0.46,0.03,0.21,0.07,0.02,,0.02,0.18,0.22,0.21,0.19,0.32,0.12,0.18,0.08,0.62,0.19,0.2,0.22,0.22,0.12,0.2,0.21
13-Jun,0.25,0.24,0.15,0.05,0.02,0.21,0,0.29,,0.22,0.31,0.22,0.21,0.26,0.2,0.2,0.18,0.41,0.15,0.11,0.31,0.26,0.32,0.12,0.2,0.21
14-Jun,0.23,0.67,0.15,0.23,0.02,0.28,0.01,0.3,0.43,0.23,0.26,0.22,0.32,0.2,0.2,0.11,0.23,0.84,0.17,0.74,0.22,0.22,0.17,0.61,0.2,0.21
15-Jun,0.25,0.18,0.3,0.43,0.02,0.23,0,0.3,0.43,0.83,0.22,0.27,0.21,0.19,0.2,0.2,0.25,0.06,0.1,0.15,0.2,0.22,0.16,0.16,0.2,0.25
16-Jun,0.07,0.13,0.01,0.36,0.14,0.33,0,0.17,0.68,0.33,0.51,0.21,0.19,0.16,0.2,0.18,,0.22,0.17,0.18,0.2,0.12,0.19,0.21,0.01,0.2
17-Jun,0.06,0.23,0.19,0.01,0.05,0.18,0.42,0.14,0,0.14,0.29,0.1,0.19,0.47,0.2,0.18,0.03,0.26,0.17,0.26,0.2,0.15,0.19,0.13,0.01,0.28
18-Jun,0.39,0.45,0.39,0.06,0.05,0.15,0.3,0.3,0.12,0.11,1.57,0.1,0.22,0.84,0.2,0.18,0.49,0.06,0.26,0.19,0.2,0.29,0.19,0.16,0.04,0.17
19-Jun,0.42,0.09,0.08,0.32,0.37,0.25,0.21,0.24,0.07,0.31,0.02,0.48,0.19,0.28,0.2,0.26,0.2,0.06,0.18,0.18,0.2,0.29,0.19,0.35,1.37,0.17
20-Jun,0.05,0.09,0.36,0.36,0.64,0.08,0.09,0.14,0.11,0.11,0.04,0.18,0.19,0.17,0.2,0.18,0.24,0.41,0.21,0.18,0.2,0.12,0.23,0.13,0.05,0.17
21-Jun,0.09,0.24,0.2,0.07,0,0.63,0.23,0.2,0.17,0.73,0.4,0.2,0,0.07,0.22,0.22,0.23,0.05,0.96,0.25,0.19,0.05,0.18,0.26,0.24,0
22-Jun,0.09,0.14,0.44,0.26,2.62,0.11,0.37,0.25,0.48,0.14,0.13,0.45,0.55,0.35,0.24,0.4,0.23,0.05,1.95,0.25,0.33,,0.44,0.26,0.24,0
23-Jun,0.09,0.12,0.2,0.4,0.28,0.13,0.23,0.21,0.29,0.14,0.45,0.25,0.74,0.65,0.65,0.22,0.23,0.12,0.02,0.25,0.27,0.19,0.19,0.26,0.35,0
24-Jun,0.09,0.19,0.2,0.18,0.01,0.18,0.24,0.2,0.17,0.14,0.19,0.2,0.05,0.17,0.14,0.25,0.3,1.01,0.01,0.25,0.4,0.06,0.28,0.26,0.24,5.67
25-Jun,0.92,0.61,0.26,0.38,0.02,0.25,0.23,0.44,0.19,0.14,0.13,0.2,0,0.05,0.05,0.22,0.32,0.06,0.01,0.28,0.16,0.05,0.21,0.26,0.24,1.61
26-Jun,0.29,0.36,0.24,0.08,0.14,0.11,0.22,0.2,0.28,0.29,0.11,0.25,0.15,0.33,0.3,0.25,0.6,0.28,0.69,0.22,0.16,0.65,0.26,0.22,0.19,0.21
27-Jun,0.26,0.22,0.25,0.33,0.62,0.08,0.22,0.51,0.27,0.12,0.09,0.25,0.15,0.25,0.24,0.25,0.21,0.23,0.13,0.22,0.12,0.02,0.34,0.22,0.22,0.21
28-Jun,0.24,0.22,0.24,0.71,0.1,0.3,0.34,0.18,0.23,0.59,0.73,0.25,0.15,0.25,0.24,0.25,0.15,0.26,0.13,0.29,0.87,0.32,0.14,0.23,0.19,0.21
29-Jun,0.23,0.22,0.27,0.08,0.22,0.49,0.22,0.17,0.23,0.07,0.13,0.25,0.95,0.21,0.24,0.25,0.15,0.23,0.14,0.22,0.12,0.4,0.28,0.22,0.19,0.35
30-Jun,0.23,0.22,0.24,0.37,0.16,0.27,0.24,0.17,0.23,0.18,0.26,0.25,0.15,0.21,0.24,0.25,0.15,0.23,0.15,0.29,0.12,0.2,0.22,0.35,0.46,0.27
01-Jul,0.29,0.21,0.22,0.29,0.26,0.74,0.31,0.27,0.26,0.1,3.31,0.29,0.21,0.27,0.27,0.34,0.16,0.23,0.28,0.29,0.03,0.29,0.28,0.2,0.11,0.29
02-Jul,0.3,0.5,0.24,0.29,0.92,0.68,0.28,0.27,0.3,0.2,0.07,0.3,0.56,0.36,0.39,0.19,0.16,0.23,0.36,0.29,1.55,0.29,0.28,0.29,0.58,0.29
03-Jul,0.27,0.33,0.53,0.29,0.1,0.28,0.31,0.33,0.33,0.89,0.07,0.29,0.22,0.29,0.27,0.19,0.16,0.24,0.38,0.29,4.6,0.29,0.28,0.61,1.03,0.34
04-Jul,0.32,0.21,0.25,0.29,0.09,0.03,0.28,0.31,0.32,0.1,0.07,0.29,0.27,0.27,0.27,0.19,0.16,0.23,0.22,0.29,0.36,0.3,0.32,0.18,0.35,0.26
05-Jul,0.27,0.21,0.25,0.3,0.09,0.07,0.28,0.29,0.26,0.17,0.1,0.29,0.21,0.27,0.27,0.55,0.82,0.53,0.23,0.29,0.04,0.29,0.28,0.17,0.45,0.28
06-Jul,0.3,0.63,0.29,0.31,0.29,0.06,0.3,0.28,0.23,0.07,0.41,0.31,0.32,0.32,0.3,1.4,0.84,0.33,0.32,0.04,0.15,0.4,0.26,0.3,0.26,0.31
07-Jul,0.3,0.46,0.22,0.07,0.29,6.95,0.42,0.54,0.3,0.08,0.24,0.31,0.32,0.32,0.35,0.16,0.26,0.28,0.31,0.26,0.11,0.29,0.27,0.35,0.24,0.36
08-Jul,0.3,0.19,0.99,0.07,0.29,15.22,0.27,0.25,0.2,0.12,0.3,0.34,0.32,0.32,0.3,0.01,0.2,0.42,0.32,1.27,0.1,0.3,0.26,0.34,0.34,0.31
09-Jul,0.3,0.12,0.27,0.45,0.42,4.3,0.26,0.28,0.7,0.65,0.39,0.31,0.32,0.32,0.3,0.01,0.14,0.28,0.33,0.04,2.23,0.31,0.26,0.3,0.44,0.31
10-Jul,0.4,0.18,0.22,1,0.29,0.28,0.34,0.25,0.21,0.66,0.24,0.31,0.32,0.32,0.33,0.01,0.14,0.28,0.31,0.04,0.08,0.29,0.54,0.3,0.35,0.31
11-Jul,0.36,0.31,0.34,,0.81,0.08,0.26,0.3,0.39,0.88,0.29,0.07,0.37,0.38,0.35,0.37,0.34,0.38,0.36,0.83,0.19,0.25,0.22,0.14,0.39,0.37
12-Jul,0.35,0.3,0.35,0.24,0.15,1.52,0.33,0.3,0.41,1.21,0.49,0.05,0.35,0.33,0.35,0.37,0.34,0.36,0.37,0.24,0.17,0.23,0.21,0.16,0.36,0.37
13-Jul,0.35,0.38,0.34,0.55,0.61,0.09,0.44,0.3,0.28,0.07,0.29,0.25,0.33,0.42,0.42,0.37,0.33,0.36,0.36,0.13,0.17,0.91,0.45,0.14,0.4,0.37
14-Jul,0.41,0.33,0.42,0.29,0.14,0.08,0.23,0.47,0.29,0.07,0.29,1.71,0.45,0.33,0.35,0.37,0.46,0.36,0.38,0.16,0.2,0.22,0.49,1.1,0.34,0.37
15-Jul,0.35,0.51,0.38,0.22,0.14,0.08,0.58,0.46,0.52,0.07,0.48,0.1,0.33,0.38,0.35,0.37,0.37,0.36,0.36,0.48,1.7,0.23,0.47,0.3,0.34,0.37
16-Jul,0.41,0.41,0.43,0.39,0.17,0.42,1.35,0.11,0.53,0.3,0.01,0.39,0.37,0.35,0.32,0.41,,0.4,0.37,0.71,0.5,0.39,0.54,0.39,0.42,0.41
17-Jul,0.41,0.41,0.38,0.39,0.48,0.37,0.3,0.9,0.2,0.33,0.01,0.42,0.37,0.35,0.67,0.41,0.41,0.44,0.37,0.7,1.08,0.42,0.36,0.44,0.48,0.41
18-Jul,0.41,0.41,0.38,0.47,0.74,0.49,0.13,0.44,0.72,0.85,1.85,0.39,0.55,0.38,0.4,0.41,0.41,0.4,0.37,0.27,0.6,0.39,0.41,0.39,0.52,0.41
19-Jul,0.41,0.41,0.38,0.39,0.48,0.38,0.13,0.1,0.2,0.29,0.15,0.43,0.37,0.59,0.32,0.41,0.41,0.4,0.37,0.22,1.63,0.39,0.36,0.43,0.31,0.41
20-Jul,0.41,0.41,0.47,0.39,0.17,0.37,0.11,0.48,0.39,0.26,0.01,0.39,0.37,0.37,0.32,0.41,0.41,0.4,0.56,0.13,0.04,0.44,0.36,0.38,0.31,0.41
21-Jul,0.37,0.22,0.41,0.35,0.26,0.53,0.18,0.47,0.34,0.88,0.24,0.39,0.38,0.43,0.17,0.41,0.42,0.07,0.47,0.4,1.65,0.42,0.4,0.27,0.4,0.4
22-Jul,0.26,0.28,0.41,0.35,0.26,0.31,0.18,0.47,0.36,0.28,0.34,0.44,0.38,0.27,1.33,0.56,0.4,0.52,0.31,0.4,0.34,0.39,0.4,0.64,0.4,0.4
23-Jul,0.26,1.06,0.41,0.59,1.02,0.36,0.35,0.36,0.5,0.28,0.79,0.41,0.5,0.17,0.14,0.35,0.4,0.11,0.3,0.4,0.2,0.38,0.4,0.55,0.4,0.4
24-Jul,0.88,0.22,0.41,0.38,0.26,0.36,1.13,0.36,0.49,0.28,0.26,0.39,0.39,0.17,0.15,0.35,0.41,0.61,0.5,0.4,0.19,0.45,0.4,0.29,0.43,0.4
25-Jul,0.26,0.24,0.41,0.35,0.26,0.46,0.18,0.36,0.34,0.29,0.39,0.39,0.38,0.98,0.23,0.35,0.4,1.29,0.44,0.4,0.21,0.38,0.4,0.27,0.4,0.4
26-Jul,0.19,0.22,0.26,0.27,0.47,0.19,0.08,0.15,0.26,0.37,0.91,0.22,0.28,0.22,0.02,0.1,0.28,0.19,0.28,0.24,0.03,0.28,0.26,0.25,0.29,0.21
27-Jul,0.16,0.38,0.26,0.27,0.24,0.53,0.16,0.17,0.26,0.27,0.17,0.23,0.28,0.13,0.02,0.31,0.28,0.19,0.28,0.24,0.03,0.33,0.26,0.31,0.29,0.21
28-Jul,0.21,0.22,0.26,0.37,0.24,0.2,0.63,0.66,0.26,0.27,0.16,0.22,0.28,0.12,0.05,0.09,0.28,0.19,0.29,0.36,0.06,0.33,0.26,0.41,0.29,0.5
29-Jul,0.16,0.48,0.35,0.27,0.28,0.19,0.31,0.42,0.28,0.27,0.2,0.23,0.31,0.29,0.02,1.04,0.3,0.19,0.29,0.29,0.03,0.26,0.26,0.25,0.29,0.21
30-Jul,0.83,0.22,0.36,0.27,0.24,0.19,0.24,0.15,0.38,0.27,0.16,0.22,0.28,0.68,0.3,0.1,0.28,0.19,0.29,0.3,1.71,0.26,0.26,0.25,0.29,0.31
31-Jul,0.16,0.22,0.26,0.27,0.24,0.45,0.31,0.17,0.29,0.27,0.16,0.6,0.29,0.27,1.32,0.09,0.29,0.79,0.28,0.3,1.58,0.26,0.41,0.25,0.29,0.3
01-Aug,0.27,0.68,0.18,0.26,0.2,0.24,0.29,0.17,0.05,0.23,0.31,0.2,0.28,0.22,0.28,0.17,0.26,0.63,0.19,0.18,0.25,0.26,0.19,0.26,0.3,0.31
02-Aug,0.27,0.15,0.68,0.26,0.94,0.24,0.15,0.72,1.18,0.23,0.21,0.2,0.28,0.66,0.28,0.45,0.26,0.2,0.19,0.88,0.25,0.34,0.33,0.29,0.28,0.28
03-Aug,0.27,0.31,0.19,0.27,0.16,0.23,0.16,0.34,0.05,0.34,0.14,0.35,0.29,0.13,0.29,0.46,0.26,0.18,0.19,0.13,0.39,0.28,0.45,0.34,0.28,0.28
04-Aug,0.27,0.14,0.18,0.35,0.16,0.47,0.21,0.07,0.1,0.38,0.21,0.29,0.28,0.15,0.33,0.17,0.26,0.29,0.58,0.13,0.27,0.26,0.26,0.21,0.28,0.28
05-Aug,0.32,0.14,0.18,0.27,0.21,0.24,0.62,0.13,0.05,0.24,0.55,0.38,0.29,0.26,0.29,0.17,0.39,0.11,0.27,0.16,0.25,0.27,0.19,0.32,0.28,0.28
06-Aug,0.48,0.2,0.19,0.18,0.17,0.16,0.41,0.11,0.13,0.19,0.29,0.12,0.12,0.19,0.32,0.43,0.18,0.21,0.09,0.17,0.19,0.21,0.19,0.42,0.11,0.21
07-Aug,0.13,0.2,0.2,0.1,0.17,0.43,0.29,0.14,0.13,0.19,0.1,0.12,0.18,0.22,0.35,0.15,0.48,0.21,0.11,0.46,0.19,0.21,0.19,0.16,0.85,0.2
08-Aug,0.13,0.2,0.2,0.39,0.17,0.17,0.2,0.38,0.15,0.19,0.1,0.12,0.12,0.26,0.09,0.15,0.15,0.21,0.74,0.18,0.19,0.21,0.19,0.16,0.13,0.2
09-Aug,0.14,0.21,0.24,0.16,0.32,0.16,0.1,0.12,0.13,0.3,0.44,0.53,0.13,0.18,0.09,0.15,0.12,0.22,0.06,0.15,0.19,0.21,0.19,0.16,0.11,0.22
10-Aug,0.17,0.24,0.21,0.21,0.21,0.13,0.05,0.29,0.52,0.19,0.1,0.16,0.51,0.19,0.21,0.15,0.12,0.21,0.06,0.24,0.31,0.21,0.3,0.16,0.11,0.21
11-Aug,0.09,0.14,0.06,0.14,0.15,0.2,0.12,0.08,0.24,0.14,0.02,0.11,0.09,0.15,0.68,0.14,0.23,0.16,0.14,0.13,0.15,0.13,0.16,0.02,0.15,0.15
12-Aug,0.06,0.22,0.1,0.14,0.16,0.18,0.12,0.26,0.4,0.16,0.58,0.06,0.58,0.15,0.38,0.14,0.12,0.07,0.14,0.13,0.15,0.13,0.19,0.02,0.15,0.15
13-Aug,0.38,0.13,0.22,0.14,0.15,0.18,0.26,0.19,0.01,0.14,0.06,0.08,0.09,0.15,0.04,0.16,0.14,0.16,0.14,0.2,0.15,0.13,0.12,0.02,0.15,0.15
14-Aug,0.07,0.12,0.31,0.14,0.15,0.18,0.12,0.12,0.07,0.14,0.02,1.3,0.12,0.15,0.03,0.15,0.12,0.21,0.18,0.13,0.15,0.21,0.14,0.02,0.15,0.15
15-Aug,0.13,0.12,0.06,0.17,0.17,0.19,0.12,0.08,0.05,0.14,0.05,0.11,0.22,0.15,0.08,0.14,0.12,0.14,0.14,0.14,0.15,0.13,0.12,0.66,0.15,0.15
16-Aug,0.17,0.16,0.15,0.09,0.15,0.11,0.22,0.01,0.16,0.16,0.16,0.55,0.01,0.12,0.12,0.16,0.16,0.19,0.15,0.21,0.11,0.1,0.16,0.16,0.1,0.08
17-Aug,0.21,0.16,0.17,0.09,0.15,0.11,0.17,0.02,0.15,0.16,0.17,0.16,0.04,0.12,0.3,0.17,0.16,0.15,0.2,0.15,0.16,0.1,0.12,0.16,0.1,0.08
18-Aug,0.15,0.18,0.15,0.09,0.24,0.3,0.14,7.05,0.15,0.16,0.17,0.07,0.01,0.12,0.12,0.16,0.19,0.15,0.15,0.15,0.24,0.1,0.26,0.16,0.19,0.16
19-Aug,0.15,0.16,0.2,0.13,0.15,0.19,0.14,0.14,0.15,0.16,0.16,0.07,0.65,0.26,0.13,0.16,0.16,0.29,0.17,0.15,0.19,0.32,0.22,0.16,0.21,0.4
20-Aug,0.15,0.16,0.15,0.43,0.15,0.11,0.14,0.05,0.22,0.16,0.16,0.06,0.11,0.2,0.14,0.16,0.16,0.17,0.15,0.16,0.17,0.29,0.12,0.17,0.23,0.1
21-Aug,0.19,0.21,0.1,0.04,0.08,0.21,0.18,0.54,0.15,0.12,0.15,0.19,0.2,0.14,0.2,0.12,0.19,0.48,0.16,0.06,0.17,0.29,0.3,0.82,0.04,0.15
22-Aug,0.19,0.2,0.1,0.06,0.08,0.2,0.16,0.17,0.08,0.32,0.21,0.19,0.2,0.42,0.2,0.12,0.19,0.13,0.17,0.06,0.25,0.18,0.16,0.05,0.77,0.15
23-Aug,0.22,0.2,0.15,0.31,0.67,0.2,0.32,0.17,0.08,0.31,0.17,0.24,0.2,0.16,0.2,0.12,0.19,0.13,0.14,0.07,0.18,0.18,0.16,0.05,0.15,0.24
24-Aug,0.19,0.2,0.2,0.08,0.08,0.2,0.17,0.06,0.14,0.12,0.15,0.19,0.2,0.14,0.2,0.5,0.19,0.13,0.14,0.55,0.17,0.18,0.16,0.05,0.02,0.3
25-Aug,0.19,0.2,0.43,0.58,0.08,0.2,0.16,0.06,0.55,0.12,0.31,0.19,0.2,0.14,0.2,0.14,0.22,0.13,0.4,0.26,0.36,0.18,0.22,0.05,0.01,0.15
26-Aug,0.22,0.19,0.73,0.11,0.21,0.18,0.12,0.37,0.25,0.2,0.71,0.2,0.22,0.21,0.19,0.06,0.2,0.18,0.21,0.19,0.39,0.21,0.21,0.14,1.39,0.25
27-Aug,0.21,0.19,0.08,0.59,0.21,0.18,0.15,0.15,0.14,0.22,0.08,0.09,0.21,0.21,0.19,0.07,0.2,0.38,0.21,0.19,0.32,0.21,0.21,0.14,0.91,0.2
28-Aug,0.21,0.28,0.08,0.14,0.23,0.18,0.47,0.16,0.16,0.2,0.28,0.14,0.21,0.21,0.19,0.96,0.2,0.18,0.21,0.3,0.14,0.21,0.21,0.21,1.05,0.2
29-Aug,0.21,0.19,0.24,0.11,0.21,0.18,0.12,0.4,0.44,0.2,0.15,0.12,0.21,0.21,0.21,0.06,0.24,0.18,0.21,0.2,0.14,0.21,0.21,0.43,0.03,0.2
30-Aug,0.21,0.23,0.08,0.18,0.21,0.32,0.12,0.19,0.14,0.2,0.08,0.53,0.21,0.21,0.24,0.06,0.21,0.18,0.21,0.2,0.14,0.21,0.21,0.15,0.03,0.2
31-Aug,0.21,0.19,0.08,0.14,0.21,0.23,1.51,0.2,0.14,0.26,0.08,0.37,0.21,0.21,0.25,0.06,0.2,0.18,0.21,0.2,0.14,0.21,0.23,0.19,0.46,0.23
01-Sept,0.31,0.33,0.25,0.25,0.24,0.31,0.57,0.59,0.2,0.25,0.33,0.31,0.33,0.32,0.2,0.33,0.38,0.29,0.25,0.28,0.33,0.37,0.33,0.31,0.33,0.34
02-Sept,0.41,0.34,0.31,0.76,0.73,0.41,0.13,0.2,0.51,0.25,0.4,0.31,0.33,0.32,0.23,0.33,0.5,0.3,0.24,0.28,0.33,0.82,0.35,0.29,0.38,0.34
03-Sept,0.34,0.33,0.39,0.22,0.24,0.36,0.16,0.22,0.29,0.25,0.31,0.31,0.33,0.32,0.19,0.33,0.24,0.51,0.24,0.31,0.33,0.16,0.33,0.29,0.32,0.34
04-Sept,0.31,0.33,0.24,0.22,0.24,0.31,0.36,0.2,0.48,0.58,0.33,0.36,0.33,0.4,0.32,0.33,0.24,0.32,0.58,0.28,0.33,0.16,0.33,0.5,0.32,0.34
05-Sept,0.31,0.37,0.5,0.24,0.24,0.31,0.47,0.55,0.21,0.35,0.31,0.4,0.36,0.32,0.75,0.36,0.32,0.26,0.37,0.54,0.35,0.18,0.33,0.29,0.33,0.34
06-Sept,0.4,0.2,2.55,0.39,0.61,0.36,0.37,0.5,0.4,0.37,0.4,0.26,0.3,0.47,0.59,0.4,0.35,0.38,0.2,0.01,0.6,0.4,0.35,1.68,0.49,0.22
07-Sept,0.4,0.41,0.95,0.43,0.35,0.39,0.33,0.49,0.4,0.43,0.4,0.26,0.3,0.39,0.44,0.4,0.35,0.43,0.12,0.01,0.51,0.39,0.36,0.07,0.37,0.22
08-Sept,0.4,0.2,0,0.39,0.35,0.39,0.38,0.36,0.4,0.4,0.4,0.37,0.83,0.38,0.53,0.4,0.35,0.41,0.13,0.01,0.32,0.37,0.35,0.09,0.37,1.61
09-Sept,0.4,0.73,0,0.39,0.35,0.37,0.41,0.31,0.4,0.44,0.4,0.33,0.34,0.38,0.22,0.4,0.35,0.4,1.66,0.4,0.27,0.46,0.35,0.07,0.39,0.22
10-Sept,0.4,0.46,0.02,0.39,0.35,0.49,0.51,0.33,0.4,0.37,0.4,0.78,0.32,0.38,0.21,0.4,0.6,0.38,0.12,1.74,0.3,0.37,0.58,0.07,0.37,0.22
11-Sept,0,0.42,0.65,0.29,0.24,0.38,0.27,0.24,0.37,0.43,0.41,0.24,0.43,0.69,0.03,0.39,0.43,0.42,0.4,0.4,0.77,0.31,0.38,0.31,0.43,0.43
12-Sept,0,0.42,0.52,0.29,0.31,0.43,0.32,0.24,0.31,0.43,0.59,0.14,0.56,0.35,0.03,0.37,0.43,0.42,0.4,0.53,0.29,0.88,0.38,0.31,0.43,0.43
13-Sept,1.74,0.42,0.29,0.29,0.56,0.55,0.35,0.26,0.8,0.43,0.31,0.14,0.37,0.35,0.03,0.68,0.43,0.42,0.55,0.41,0.44,0.31,0.38,0.31,0.43,0.43
14-Sept,0.46,0.42,0.38,0.47,0.42,0.38,0.93,0.52,0.31,0.43,0.45,0.68,0.37,0.41,0.03,0.34,0.43,0.42,0.4,0.4,0.39,0.31,0.46,0.87,0.43,0.43
15-Sept,0,0.45,0.29,0.79,0.59,0.38,0.27,0.85,0.34,0.43,0.38,0.93,0.4,0.35,2.31,0.34,0.43,0.44,0.4,0.4,0.29,0.31,0.52,0.32,0.43,0.43
16-Sept,0.46,0.46,0.35,0.36,0.6,0.44,0.25,0.26,0.45,0.5,0.54,0.42,0.5,0.45,0.46,0.52,0.46,0.08,0.46,0.46,0.41,0.46,0.3,0.46,0.41,0.37
17-Sept,0.46,0.46,0.96,0.32,0.42,0.49,0.26,0.61,0.45,0.37,0.89,0.54,0.41,0.45,0.46,0.49,0.46,0.08,0.46,0.46,0.41,0.46,0.3,0.46,0.61,0.37
18-Sept,0.46,0.47,0.08,0.5,0.43,0.44,0.7,0.78,0.39,0.37,0.29,0.42,0.57,0.51,0.46,0.46,0.46,0.08,0.46,0.46,0.56,0.46,0.3,0.46,0.41,0.37
19-Sept,0.46,0.46,0.82,0.61,0.42,0.44,0.84,0.54,0.39,0.37,0.29,0.42,0.41,0.45,0.46,0.42,0.46,0.15,0.46,0.46,0.5,0.46,1.07,0.46,0.41,0.37
20-Sept,0.46,0.46,0.1,0.51,0.42,0.49,0.25,0.26,0.62,0.69,0.29,0.49,0.41,0.45,0.46,0.42,0.46,2.36,0.46,0.46,0.41,0.46,0.33,0.46,0.45,0.85
21-Sept,0.53,0.44,1.05,0.7,0.51,1.07,0.44,1.62,0.57,0.49,0.48,0.07,0.53,0.4,0.53,0.55,0.55,1.56,0.42,0.54,0.08,0.33,0.49,0.33,0.56,0.44
22-Sept,0.53,0.97,0.35,0.49,0.52,0.49,0.47,0.54,0.88,0.46,0.57,0.2,0.53,0.45,0.59,0.55,0.54,0.29,0.27,0.54,0.08,0.68,0.49,0.33,0.54,0.14
23-Sept,0.55,0.44,1.02,0.49,0.51,0.38,1.22,0.32,0.41,0.88,0.48,9.53,0.53,0.4,0.55,0.55,0.54,0.29,0.26,0.54,2.46,0.49,0.49,0.46,0.54,0.14
24-Sept,0.58,0.44,0.1,0.49,0.68,0.38,0.43,0.3,0.45,0.45,0.48,0.22,0.58,1.06,0.53,0.55,0.54,0.29,1.37,0.54,0.14,0.4,0.49,1.28,0.54,1.9
25-Sept,0.53,0.44,0.21,0.57,0.51,0.4,0.5,0.3,0.42,0.45,0.76,0.07,0.54,0.4,0.53,0.55,0.54,0.29,0.41,0.55,0.08,0.85,0.77,0.33,0.54,0.14
26-Sept,0.66,0.66,0.57,0.52,0.56,0.33,0.22,0.07,0.49,0.69,0.72,0.66,0.69,0.66,0.66,0.65,0.57,0.65,0.85,2.4,0.66,0.6,1.05,0.35,0.66,0.66
27-Sept,0.66,0.66,0.57,0.5,0.55,0.78,0.3,0.09,0.82,0.88,0.63,0.66,0.65,0.66,0.66,0.67,0.57,0.65,2.14,0.53,0.66,0.6,0.56,0.35,0.66,0.66
28-Sept,0.66,0.66,0.57,0.5,1.18,1.57,1.13,9.82,0.73,0.64,0.7,0.66,0.65,0.66,0.66,0.65,1,0.65,0.2,0.1,0.66,0.6,0.56,0.41,0.66,0.66
29-Sept,0.66,0.66,1.03,0.86,0.51,0.32,5.88,4.47,0.49,0.55,0.63,0.66,0.65,0.66,0.66,0.67,0.59,0.71,0.34,0.1,0.66,0.63,0.56,1.96,0.66,0.66
30-Sept,0.66,0.66,0.57,0.93,0.51,0.3,0.22,0.1,0.79,0.55,0.63,0.66,0.65,0.66,0.66,0.65,0.57,0.65,0.27,0.17,0.66,0.88,0.56,0.35,0.66,0.66
01-Oct,0.24,0.57,0.53,0.36,0.68,0.53,0.57,0.98,0.12,0.59,0.61,0.68,1.31,0.92,0.46,0.23,0.57,0.63,0.57,6.29,0.86,0.62,0.61,0.15,0.59,0.61
